instance_id,sample_id,house_id,split,semantic_label,has_mirror_plane,has_refined_depth,has_coarse_mask,has_precise_mask
1,d604bbfa690d46e5b18b59fdbb0a2031_i1_0,EU6Fwq7SyZv,val,almost-complete,1,0,0,1,1
1,27fdec10f8034decaba1d3cdb1fd8693_i1_4,EU6Fwq7SyZv,val,incomplete,1,0,0,1,1
1,ea04c16205aa4ec3914a9ad71c710a2a_i1_4,EU6Fwq7SyZv,val,complete,1,0,0,1,1
1,a146c3ad31e64d6bae7642fbe3395865_i1_4,EU6Fwq7SyZv,val,complete,1,0,0,1,1
1,6dca0100bfd447c09f97e3cbfec92683_i0_0,EU6Fwq7SyZv,val,incomplete,1,0,0,1,1
1,dec59abd81084cfcb8f6a792b948cba1_i0_1,EU6Fwq7SyZv,val,incomplete,1,0,0,1,1
1,b02200ddb1c44876acc8983e572f53c4_i1_3,EU6Fwq7SyZv,val,incomplete,1,0,0,1,1
1,b2c25cc46d304142970917a600cba311_i1_1,EU6Fwq7SyZv,val,incomplete,1,0,0,1,1
1,56903e52ad914b6a89316ae07fad03d8_i1_3,EU6Fwq7SyZv,val,incomplete,1,0,0,1,1
1,b02200ddb1c44876acc8983e572f53c4_i1_2,EU6Fwq7SyZv,val,incomplete,1,0,0,1,1
1,56903e52ad914b6a89316ae07fad03d8_i1_4,EU6Fwq7SyZv,val,incomplete,1,0,0,1,1
1,fece94182471459486c043185dff0a60_i2_2,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,c1d33aa653f146dc8f13b6e713c7dc0e_i1_4,82sE5b5pLXE,train,incomplete,0,0,0,1,1
2,c1d33aa653f146dc8f13b6e713c7dc0e_i1_4,82sE5b5pLXE,train,complete,0,0,0,1,1
3,c1d33aa653f146dc8f13b6e713c7dc0e_i1_4,82sE5b5pLXE,train,complete,0,0,0,1,1
4,c1d33aa653f146dc8f13b6e713c7dc0e_i1_4,82sE5b5pLXE,train,incomplete,0,0,0,1,1
5,c1d33aa653f146dc8f13b6e713c7dc0e_i1_4,82sE5b5pLXE,train,incomplete,0,0,0,1,1
6,c1d33aa653f146dc8f13b6e713c7dc0e_i1_4,82sE5b5pLXE,train,incomplete,0,0,0,1,1
1,7e0c327f89f0498da5dbd9e4bddc0e8a_i1_1,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,662330a779bc48eea0e0ab7c6eed8cf3_i1_0,82sE5b5pLXE,train,incomplete,0,0,0,1,1
2,662330a779bc48eea0e0ab7c6eed8cf3_i1_0,82sE5b5pLXE,train,incomplete,0,0,0,1,1
3,662330a779bc48eea0e0ab7c6eed8cf3_i1_0,82sE5b5pLXE,train,incomplete,0,0,0,1,1
4,662330a779bc48eea0e0ab7c6eed8cf3_i1_0,82sE5b5pLXE,train,incomplete,0,0,0,1,1
5,662330a779bc48eea0e0ab7c6eed8cf3_i1_0,82sE5b5pLXE,train,complete,0,0,0,1,1
6,662330a779bc48eea0e0ab7c6eed8cf3_i1_0,82sE5b5pLXE,train,incomplete,0,0,0,1,1
1,811f54341f2f47598af9b341ca37153a_i2_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,7f4979d13ad748669d9e55206b9681eb_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
2,7f4979d13ad748669d9e55206b9681eb_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
3,7f4979d13ad748669d9e55206b9681eb_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,f3aa7887b82f4e1787dca604277580bd_i2_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,a5cbf721bbca4eb2af0b1ab42c9ec1b7_i1_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,dfce0b29de62478583bbffdd7cbb419b_i1_4,82sE5b5pLXE,train,incomplete,1,0,0,1,1
