instance_id,sample_id,scene_id,split,mirror_visibility,has_mirror_plane,has_coarse_refined_depth,has_precise_refined_depth,has_coarse_mask,has_precise_mask
1,001300,scene0279_02,train,partial,0,0,0,1,1
2,001300,scene0279_02,train,partial,0,0,0,1,1
1,000800,scene0236_00,train,partial,1,1,1,1,1
1,000700,scene0236_00,train,partial,1,1,1,1,1
1,000000,scene0153_01,test,partial,0,0,0,1,1
1,001419,scene0510_01,train,partial,1,1,1,1,1
1,001441,scene0510_01,train,partial,1,1,1,1,1
1,000115,scene0510_01,train,partial,1,1,1,1,1
2,000115,scene0510_01,train,partial,1,1,1,1,1
1,000389,scene0510_01,train,partial,1,1,1,1,1
1,000442,scene0510_01,train,partial,1,1,1,1,1
1,000199,scene0510_01,train,partial,1,1,1,1,1
1,000072,scene0510_01,train,partial,1,1,1,1,1
1,000514,scene0510_01,train,partial,1,1,1,1,1
1,001394,scene0510_01,train,partial,1,1,1,1,1
1,001434,scene0510_01,train,partial,1,1,1,1,1
1,000000,scene0510_01,train,partial,1,1,1,1,1
1,000099,scene0510_01,train,partial,1,1,1,1,1
2,000099,scene0510_01,train,partial,1,1,1,1,1
1,000300,scene0510_01,train,partial,1,1,1,1,1
1,000400,scene0510_01,train,partial,1,1,1,1,1
1,000507,scene0510_01,train,partial,1,1,1,1,1
1,000209,scene0510_01,train,partial,1,1,1,1,1
1,000421,scene0510_01,train,partial,1,1,1,1,1
1,000194,scene0510_01,train,partial,1,1,1,1,1
1,000414,scene0510_01,train,partial,1,1,1,1,1
1,001405,scene0510_01,train,partial,1,1,1,1,1
1,000109,scene0510_01,train,partial,1,1,1,1,1
2,000109,scene0510_01,train,partial,1,1,1,1,1
1,000063,scene0510_01,train,partial,1,1,1,1,1
1,001387,scene0510_01,train,partial,1,1,1,1,1
1,000479,scene0510_01,train,partial,1,1,1,1,1
1,000469,scene0510_01,train,partial,1,1,1,1,1
1,000079,scene0510_01,train,partial,1,1,1,1,1
1,000455,scene0510_01,train,partial,1,1,1,1,1
1,000474,scene0510_01,train,partial,1,1,1,1,1
1,000351,scene0510_01,train,partial,1,1,1,1,1
1,000370,scene0510_01,train,partial,1,1,1,1,1
1,001414,scene0510_01,train,partial,1,1,1,1,1
1,000123,scene0510_01,train,partial,1,1,1,1,1
2,000123,scene0510_01,train,partial,1,1,1,1,1
1,000450,scene0510_01,train,partial,1,1,1,1,1
1,000365,scene0510_01,train,partial,1,1,1,1,1
1,000200,scene0510_01,train,partial,1,1,1,1,1
1,000428,scene0510_01,train,whole,1,1,1,1,1
1,000358,scene0510_01,train,partial,1,1,1,1,1
1,000497,scene0510_01,train,partial,1,1,1,1,1
1,000464,scene0510_01,train,partial,1,1,1,1,1
1,000435,scene0510_01,train,partial,1,1,1,1,1
1,000517,scene0510_01,train,partial,1,1,1,1,1
1,000086,scene0510_01,train,partial,1,1,1,1,1
1,000204,scene0510_01,train,partial,1,1,1,1,1
1,000377,scene0510_01,train,partial,1,1,1,1,1
1,001400,scene0510_01,train,partial,1,1,1,1,1
